scenario,plasma_distance,plasma_passes,plasma_power,plasma_speed,pretreatment,loss,c1,macrorep,iteration,cumulative_max_loss,c1_cumulative_max_loss,best_row_number
6,5.837917098532496,15,431.94622098085455,238.03096279426413,dry_tissue,7.846465197649156,2.0,1,181,7.847333195132389,1,179
6,6.073937996081098,15,430.23281487947804,233.73437941933375,dry_tissue,7.841352582132334,1.0,1,182,7.847333195132389,1,179
6,5.9029632170298125,15,432.77587463215696,238.47083869350246,dry_tissue,7.847898336364661,2.0,1,183,7.847333195132389,1,179
6,5.856096972684302,15,434.27904023611086,239.10999755030863,US_bath,7.698554642872135,2.0,1,184,7.847333195132389,1,179
6,5.811054068334647,15,433.6986131268701,236.3113532111499,dry_tissue,7.850238909475575,2.0,1,185,7.847333195132389,1,179
6,5.937060633563148,15,429.5774304535437,237.29241718705356,dry_tissue,7.840758296541007,1.0,1,186,7.847333195132389,1,179
6,5.837196811362588,15,435.18358961903294,232.64251609447567,dry_tissue,7.852933158619372,2.0,1,187,7.847333195132389,1,179
6,5.908911277590465,15,432.2981422724764,235.37018362475675,dry_tissue,7.846809092471295,2.0,1,188,7.847333195132389,1,179
6,5.834662924807771,15,432.3642070576762,235.42778556466521,dry_tissue,7.847326306043314,2.0,1,189,7.847333195132389,1,179
6,5.8540742908162535,15,432.5517689039182,235.43217953769246,dry_tissue,7.847625764707681,2.0,1,190,7.847333195132389,1,179
6,5.843588382581017,15,433.28554329206764,234.07123429248102,dry_tissue,7.8491558164479045,2.0,1,191,7.847333195132389,1,179
6,5.813022369581451,15,431.7750106745631,237.88317375494515,dry_tissue,7.846217362595764,2.0,1,192,7.847333195132389,1,179
6,5.99570570221846,15,433.3715186180206,237.0127310033472,dry_tissue,7.84861142166091,1.0,1,193,7.84861142166091,1,193
6,5.808805310241835,15,434.1714321235741,238.80029775582688,dry_tissue,7.851259998342547,2.0,1,194,7.84861142166091,1,193
6,5.880483935729069,15,435.85741226699656,236.24875266532328,dry_tissue,7.8542141795514935,2.0,1,195,7.84861142166091,1,193
2,5.9174746530920075,15,431.80046392214723,236.05122753787057,dry_tissue,5.737040080620966,2.0,1,196,7.84861142166091,1,193
6,5.999325364870217,15,433.038923641328,236.52597095555313,compressed_air,7.724918088104801,1.0,1,197,7.84861142166091,1,193
6,5.80838269648266,15,435.1978398931673,235.17104564159925,dry_tissue,7.853231581598489,2.0,1,198,7.84861142166091,1,193
6,5.847574399616435,15,433.44429171688,236.8630240092034,dry_tissue,7.849551971555638,2.0,1,199,7.84861142166091,1,193
5,5.8716167693238255,15,433.62206193060575,235.7069265971477,dry_tissue,5.844241634220034,2.0,1,200,7.84861142166091,1,193
2,12.646595195982945,17,454.3975125691894,73.24609271780118,dry_tissue,5.737040080620966,2.0,2,1,0.0,0,1
2,15.939425619183462,46,461.3587503771372,238.24635677738792,US_bath,4.7143578975934375,2.0,2,2,0.0,0,1
5,4.400896021984067,29,371.9422277423204,171.23479250234465,compressed_air,5.023437998889708,2.0,2,3,0.0,0,1
6,8.01234241317674,4,376.407478822197,92.61506279512218,degreasing,7.330237860377632,1.0,2,4,7.330237860377632,1,4
5,18.997332586486877,18,317.96181337158777,124.46504176591178,US_bath,4.838604058961241,2.0,2,5,7.330237860377632,1,4
2,7.032614808974472,33,485.548425339905,242.90590937736826,dry_tissue,5.737040080620966,2.0,2,6,7.330237860377632,1,4
1,12.404599141546985,37,418.711856617424,73.2524535801432,US_bath,4.7143578975934375,2.0,2,7,7.330237860377632,1,4
4,4.352734885147102,3,405.55582950888515,48.217025455269564,US_bath,4.553148875540939,2.0,2,8,7.330237860377632,1,4
4,8.693491735943729,10,461.1696313520323,180.55642296266302,compressed_air,4.73817542204341,2.0,2,9,7.330237860377632,1,4
1,7.392796889080929,44,324.8867882165397,107.65442263957392,dry_tissue,4.7143578975934375,2.0,2,10,7.330237860377632,1,4
2,14.939314276300344,33,459.7002127253427,157.34459106945263,dry_tissue,5.737040080620966,2.0,2,11,7.330237860377632,1,4
6,13.263133948792792,10,300.3763394694243,110.95270615207399,compressed_air,5.115668966551468,1.0,2,12,7.330237860377632,1,4
1,15.219673027652256,41,307.1598879218376,114.62258170202716,US_bath,4.7143578975934375,2.0,2,13,7.330237860377632,1,4
1,10.639590926934632,12,490.46969673886747,21.26852346190069,compressed_air,4.7143578975934375,2.0,2,14,7.330237860377632,1,4
6,6.918206924550114,18,425.3992324111779,32.85928377057011,compressed_air,4.228214756613548,1.0,2,15,7.330237860377632,1,4
6,19.346963528844984,9,312.8600471616219,119.26579932301287,compressed_air,4.982073526791048,1.0,2,16,7.330237860377632,1,4
1,5.945352478918021,8,448.96527246339735,137.41565973574185,compressed_air,4.7143578975934375,2.0,2,17,7.330237860377632,1,4
4,14.15715965922632,48,333.7463763183264,188.56107101287964,compressed_air,4.73817542204341,2.0,2,18,7.330237860377632,1,4
